name,telescope,exptime,jd,date,chip,band,readout,filename,note,field
F6104-121-R-c-5,MOA-II,121,2459908.141172,2022-11-24,5,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6104-121-R-c-5.fit.gz,lower,flat_round
F5618-5-R-a-9,MOA-II,5,2459193.175065,2020-12-09,9,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2020/F5618-5-R-a-9.fit.gz,over,flat
F5639-20-R-e-5,MOA-II,20,2459256.868664,2021-02-11,5,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5639-20-R-e-5.fit.gz,lower,flat
F5713-5-R-a-99,MOA-II,5,2459261.847432,2021-02-16,99,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5713-5-R-a-99.fit.gz,good,flat
F5947-121-V-b-0,MOA-II,121,2459593.910299,2022-01-14,0,V,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F5947-121-V-b-0.fit.gz,good,flat_round
F6055-121-V-a-6,MOA-II,121,2459899.071227,2022-11-15,6,V,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6055-121-V-a-6.fit.gz,over,flat_round
F5932-6-R-b-1,MOA-II,6,2459555.87511,2021-12-07,1,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5932-6-R-b-1.fit.gz,lower,flat
F5615-20-R-c-3,MOA-II,20,2459193.162082,2020-12-09,3,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2020/F5615-20-R-c-3.fit.gz,lower,flat
F6410-121-R-a-4,MOA-II,121,2460478.292024,2024-06-16,4,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/F6410-121-R-a-4.fit.gz,good,flat_round
F6410-121-R-a-6,MOA-II,121,2460478.292024,2024-06-16,6,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/F6410-121-R-a-6.fit.gz,good,flat_round
F5977-121-V-c-7,MOA-II,121,2459620.970219,2022-02-10,7,V,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F5977-121-V-c-7.fit.gz,good,flat_round
F5901-5-R-a-99,MOA-II,5,2459546.848844,2021-11-28,99,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5901-5-R-a-99.fit.gz,over,flat
F6046-121-R-b-9,MOA-II,121,2459898.904964,2022-11-15,9,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6046-121-R-b-9.fit.gz,lower,flat_round
F6069-121-R-a-5,MOA-II,121,2459900.989275,2022-11-17,5,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6069-121-R-a-5.fit.gz,over,flat_round
F6069-121-R-c-8,MOA-II,121,2459900.993424,2022-11-17,8,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6069-121-R-c-8.fit.gz,over,flat_round
F5784-30-R-a-3,MOA-II,30,2459263.214701,2021-02-17,3,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5784-30-R-a-3.fit.gz,lower,flat
F5939-121-R-a-99,MOA-II,121,2459560.892831,2021-12-12,99,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5939-121-R-a-99.fit.gz,lower,flat_round
F6060-121-V-a-6,MOA-II,121,2459900.026005,2022-11-16,6,V,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6060-121-V-a-6.fit.gz,lower,flat_round
F5866-15-R-e-7,MOA-II,15,2459523.845436,2021-11-05,7,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5866-15-R-e-7.fit.gz,good,flat
F5998-60-R-a-6,MOA-II,60,2459709.770271,2022-05-10,6,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F5998-60-R-a-6.fit.gz,lower,flat
F5868-10-R-b-4,MOA-II,10,2459541.846965,2021-11-23,4,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5868-10-R-b-4.fit.gz,over,flat
F5915-10-R-a-2,MOA-II,10,2459546.863484,2021-11-28,2,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5915-10-R-a-2.fit.gz,good,flat
F6015-121-V-c-9,MOA-II,121,2459822.886589,2022-08-31,9,V,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6015-121-V-c-9.fit.gz,good,flat_round
F6047-121-R-b-99,MOA-II,121,2459898.963284,2022-11-15,99,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6047-121-R-b-99.fit.gz,lower,flat_round
F5646-20-R-a-4,MOA-II,20,2459257.841735,2021-02-12,4,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5646-20-R-a-4.fit.gz,over,flat
F5999-5-R-b-1,MOA-II,5,2459725.761402,2022-05-26,1,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F5999-5-R-b-1.fit.gz,lower,flat
F5646-20-R-a-3,MOA-II,20,2459257.841735,2021-02-12,3,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5646-20-R-a-3.fit.gz,over,flat
F5959-20-R-a-7,MOA-II,20,2459618.863909,2022-02-08,7,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F5959-20-R-a-7.fit.gz,good,flat
F6192-121-R-a-2,MOA-II,121,2460188.925638,2023-09-01,2,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2023/F6192-121-R-a-2.fit.gz,good,flat_round
F5922-20-R-a-7,MOA-II,20,2459546.870374,2021-11-28,7,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5922-20-R-a-7.fit.gz,lower,flat
F6015-121-V-a-3,MOA-II,121,2459822.882853,2022-08-31,3,V,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6015-121-V-a-3.fit.gz,good,flat_round
F6192-121-R-c-9,MOA-II,121,2460188.929373,2023-09-01,9,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2023/F6192-121-R-c-9.fit.gz,good,flat_round
F6164-121-V-a-6,MOA-II,121,2459997.023648,2023-02-21,6,V,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2023/F6164-121-V-a-6.fit.gz,lower,flat_round
F5932-6-R-a-7,MOA-II,6,2459555.874182,2021-12-07,7,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5932-6-R-a-7.fit.gz,lower,flat
F6068-121-V-a-7,MOA-II,121,2459900.064894,2022-11-16,7,V,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6068-121-V-a-7.fit.gz,good,flat_round
F5999-5-R-c-2,MOA-II,5,2459725.76233,2022-05-26,2,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F5999-5-R-c-2.fit.gz,lower,flat
F6170-121-R-c-2,MOA-II,121,2460042.906627,2023-04-08,2,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2023/F6170-121-R-c-2.fit.gz,lower,flat_round
F5648-10-R-a-0,MOA-II,10,2459257.847491,2021-02-12,0,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5648-10-R-a-0.fit.gz,over,flat
F6026-121-V-a-10,MOA-II,121,2459828.322053,2022-09-05,10,V,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6026-121-V-a-10.fit.gz,lower,flat_round
F5625-5-R-a-0,MOA-II,5,2459234.952142,2021-01-20,0,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5625-5-R-a-0.fit.gz,lower,flat
F6085-121-V-a-9,MOA-II,121,2459901.919722,2022-11-18,9,V,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6085-121-V-a-9.fit.gz,good,flat_round
F5792-20-R-a-9,MOA-II,20,2459263.222275,2021-02-17,9,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5792-20-R-a-9.fit.gz,over,flat
F5864-5-R-a-6,MOA-II,5,2459523.834927,2021-11-05,6,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5864-5-R-a-6.fit.gz,over,flat
F6169-121-R-c-10,MOA-II,121,2460042.899091,2023-04-08,10,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2023/F6169-121-R-c-10.fit.gz,lower,flat_round
F5637-180-R-a-5,MOA-II,180,2459235.888682,2021-01-21,5,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5637-180-R-a-5.fit.gz,lower,flat
F5846-121-R-c-9,MOA-II,121,2459425.319392,2021-07-29,9,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5846-121-R-c-9.fit.gz,good,flat_round
F5942-121-R-a-0,MOA-II,121,2459560.907763,2021-12-12,0,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5942-121-R-a-0.fit.gz,lower,flat_round
F5654-20-R-b-5,MOA-II,20,2459257.858567,2021-02-12,5,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5654-20-R-b-5.fit.gz,lower,flat
F6153-121-R-b-4,MOA-II,121,2459966.90956,2023-01-22,4,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2023/F6153-121-R-b-4.fit.gz,good,flat_round
F6176-121-R-b-2,MOA-II,121,2460049.239021,2023-04-14,2,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2023/F6176-121-R-b-2.fit.gz,lower,flat_round
F5830-15-R-c-7,MOA-II,15,2459281.834119,2021-03-08,7,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5830-15-R-c-7.fit.gz,lower,flat
F6200-121-R-c-1,MOA-II,121,2460193.977405,2023-09-06,1,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2023/F6200-121-R-c-1.fit.gz,good,flat_round
F5653-20-R-b-9,MOA-II,20,2459257.856709,2021-02-12,9,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5653-20-R-b-9.fit.gz,lower,flat
F5948-121-V-a-7,MOA-II,121,2459593.915288,2022-01-14,7,V,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F5948-121-V-a-7.fit.gz,good,flat_round
F5921-20-R-a-6,MOA-II,20,2459546.869442,2021-11-28,6,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5921-20-R-a-6.fit.gz,lower,flat
F6104-121-R-a-9,MOA-II,121,2459908.137024,2022-11-24,9,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6104-121-R-a-9.fit.gz,over,flat_round
F6121-121-V-a-10,MOA-II,121,2459923.019477,2022-12-09,10,V,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6121-121-V-a-10.fit.gz,good,flat_round
