name,telescope,exptime,jd,date,filename,note
dark-0014_30,B&C,30.0,2459825.9162275465,2022-09-03T09:59:22.06,/home/phys/astro8/MJArchive/octans/20220903/dark-0014_30.fit,
dark_20220909-0002_15,B&C,15.0,2459831.876403125,2022-09-09T09:02:01.23,/home/phys/astro8/MJArchive/octans/20220909/dark_20220909-0002_15.fit,
dark-0014_120,B&C,120.0,2459825.918558912,2022-09-03T10:02:43.49,/home/phys/astro8/MJArchive/octans/20220903/dark-0014_120.fit,
Dark-00312,B&C,2.0,2459684.0103372685,2022-04-14T12:14:53.14,/home/phys/astro8/MJArchive/octans/20220414/Dark-00312.fit,
Dark-0004,B&C,2.0,2459686.94131088,2022-04-17T10:35:29.26,/home/phys/astro8/MJArchive/octans/20220417/Dark-0004.fit,
Darks_20220829-0006d2,B&C,2.0,2459821.3153721066,2022-08-29T19:34:08.15,/home/phys/astro8/MJArchive/octans/20220829/Darks_20220829-0006d2.fit,
dark-0049,B&C,4.0,2459687.285301273,2022-04-17T18:50:50.03,/home/phys/astro8/MJArchive/octans/20220417/dark-0049.fit,
Dark-0016,B&C,10.0,2459686.982968056,2022-04-17T11:35:28.44,/home/phys/astro8/MJArchive/octans/20220417/Dark-0016.fit,
Darks_20220829-0008d2,B&C,2.0,2459821.3259325232,2022-08-29T19:49:20.57,/home/phys/astro8/MJArchive/octans/20220829/Darks_20220829-0008d2.fit,
dark-0002,B&C,120.0,2459605.7346336804,2022-01-26T05:37:52.35,/home/phys/astro8/MJArchive/octans/20220126/dark-0002.fit,
dark-0013_2,B&C,2.0,2459825.912117245,2022-09-03T09:53:26.93,/home/phys/astro8/MJArchive/octans/20220903/dark-0013_2.fit,
dark-0012_5,B&C,5.0,2459825.908245024,2022-09-03T09:47:52.37,/home/phys/astro8/MJArchive/octans/20220903/dark-0012_5.fit,
dark-0006,B&C,2.0,2459686.268403125,2022-04-16T18:26:30.03,/home/phys/astro8/MJArchive/octans/20220416/dark-0006.fit,
Dark-0022,B&C,10.0,2459686.9839280094,2022-04-17T11:36:51.38,/home/phys/astro8/MJArchive/octans/20220417/Dark-0022.fit,
dark-0001,B&C,300.0,2459604.144655324,2022-01-24T15:28:18.22,/home/phys/astro8/MJArchive/octans/20220124/dark-0001.fit,
dark_20220830-0004150,B&C,150.0,2459822.2256890046,2022-08-30T17:24:59.53,/home/phys/astro8/MJArchive/octans/20220830/dark_20220830-0004150.fit,
dark_20220830-0010300,B&C,300.0,2459821.8097587964,2022-08-30T07:26:03.16,/home/phys/astro8/MJArchive/octans/20220830/dark_20220830-0010300.fit,
dark-0050,B&C,4.0,2459687.2853924767,2022-04-17T18:50:57.91,/home/phys/astro8/MJArchive/octans/20220417/dark-0050.fit,
dark-0072,B&C,0.0,2459687.287038889,2022-04-17T18:53:20.16,/home/phys/astro8/MJArchive/octans/20220417/dark-0072.fit,
dark-0011_120,B&C,120.0,2459825.894464005,2022-09-03T09:28:01.69,/home/phys/astro8/MJArchive/octans/20220903/dark-0011_120.fit,
Darks_20220829-0004d300,B&C,300.0,2459821.3063104167,2022-08-29T19:21:05.22,/home/phys/astro8/MJArchive/octans/20220829/Darks_20220829-0004d300.fit,
dark-0021,B&C,0.0,2459605.774941088,2022-01-26T06:35:54.91,/home/phys/astro8/MJArchive/octans/20220126/dark-0021.fit,
dark_20220830-000630,B&C,30.0,2459821.815840972,2022-08-30T07:34:48.66,/home/phys/astro8/MJArchive/octans/20220830/dark_20220830-000630.fit,
dark-0017_2,B&C,2.0,2459825.926809953,2022-09-03T10:14:36.38,/home/phys/astro8/MJArchive/octans/20220903/dark-0017_2.fit,
