name,band,telescope,exptime,jd,date,filename,note
Flat -0013g,g,B&C,15.0,2459687.2748608794,2022-04-17T18:35:47.98,/home/phys/astro8/MJArchive/octans/20220417/Flat -0013g.fit,lower
flats_20220905-0003_g,g,B&C,10.0,2459828.2715342594,2022-09-05T18:31:00.56,/home/phys/astro8/MJArchive/octans/20220905/flats_20220905-0003_g.fit,good
flat-0029V,V,,6.0,2459606.2112525464,2022-01-26T17:04:12.22,/home/phys/astro8/MJArchive/octans/20220126/flat-0029V.fit,over
Flats_20220908-0004_B,B,B&C,15.0,2459831.269109375,2022-09-08T18:27:31.05,/home/phys/astro8/MJArchive/octans/20220908/Flats_20220908-0004_B.fit,good
FlatDome-0003,bad,bad,-999.0,-999.0,bad,bad,bad
flats_20220904-0006_g,g,B&C,10.0,2459827.2731408565,2022-09-04T18:33:19.37,/home/phys/astro8/MJArchive/octans/20220904/flats_20220904-0006_g.fit,good
flat-0029r,r,B&C,10.0,2459686.982326505,2022-04-17T11:34:33.01,/home/phys/astro8/MJArchive/octans/20220417/flat-0029r.fit,good
flat-0027,r,,13.0,2459606.8618436344,2022-01-27T08:41:03.29,/home/phys/astro8/MJArchive/octans/20220127/flat-0027.fit,good
flats_20220904-0009_R_,R,B&C,2.0,2459827.278959028,2022-09-04T18:41:42.06,/home/phys/astro8/MJArchive/octans/20220904/flats_20220904-0009_R_.fit,good
flats_20220905-0003_SII,SII,B&C,8.0,2459828.2860800927,2022-09-05T18:51:57.32,/home/phys/astro8/MJArchive/octans/20220905/flats_20220905-0003_SII.fit,good
flats_20220904-0010_OIII,OIII,B&C,10.0,2459827.287228588,2022-09-04T18:53:36.55,/home/phys/astro8/MJArchive/octans/20220904/flats_20220904-0010_OIII.fit,good
flat-0004r,r,,20.0,2459608.861697338,2022-01-29T08:40:50.65,/home/phys/astro8/MJArchive/octans/20220129/flat-0004r.fit,good
flat_20220830-0003fr,r,B&C,2.0,2459821.772314699,2022-08-30T06:32:07.99,/home/phys/astro8/MJArchive/octans/20220830/flat_20220830-0003fr.fit,lower
Flats_20220908-0004_R_,R,B&C,1.0,2459831.27519456,2022-09-08T18:36:16.81,/home/phys/astro8/MJArchive/octans/20220908/Flats_20220908-0004_R_.fit,good
flat_20220903-0001r,r,B&C,15.0,2459825.275047685,2022-09-02T18:36:04.12,/home/phys/astro8/MJArchive/octans/20220902/flat_20220903-0001r.fit,good
Flats-0003-r,r,,5.0,2459399.734038773,2021-07-04T05:37:00.95,/home/phys/astro8/MJArchive/octans/20210704/Flats-0003-r.fit,good
Flat-0017gg,g,,5.0,2458725.697962963,2019-08-30T04:45:04,/home/phys/astro8/MJArchive/octans/20190830/Flat-0017gg.fit,good
Flat-0011ii,i,,0.1,2458725.6793981483,2019-08-30T04:18:20,/home/phys/astro8/MJArchive/octans/20190830/Flat-0011ii.fit,good
Flat-0016gg,g,,5.0,2458725.6948032407,2019-08-30T04:40:31,/home/phys/astro8/MJArchive/octans/20190830/Flat-0016gg.fit,good
flat-0010z,z,,1.0,2459603.877077199,2022-01-24T09:02:59.47,/home/phys/astro8/MJArchive/octans/20220124/flat-0010z.fit,lower
Flat-0009rr,r,,5.0,2458725.672847222,2019-08-30T04:08:54,/home/phys/astro8/MJArchive/octans/20190830/Flat-0009rr.fit,over
FlatDome-0005,bad,bad,-999.0,-999.0,bad,bad,bad
flat_20220903-0004g,g,B&C,25.0,2459825.273481597,2022-09-02T18:33:48.81,/home/phys/astro8/MJArchive/octans/20220903/flat_20220903-0004g.fit,over
Flat-0021I,I,,0.1,2458725.709849537,2019-08-30T05:02:11,/home/phys/astro8/MJArchive/octans/20190830/Flat-0021I.fit,good
Flat-0025V,V,,5.0,2458725.722037037,2019-08-30T05:19:44,/home/phys/astro8/MJArchive/octans/20190830/Flat-0025V.fit,good
flats-0024r,r,,5.0,2459605.208607176,2022-01-25T17:00:23.66,/home/phys/astro8/MJArchive/octans/20220125/flats-0024r.fit,good
flat_20220903-0009i,i,B&C,3.0,2459825.2789930557,2022-09-02T18:41:45.00,/home/phys/astro8/MJArchive/octans/20220903/flat_20220903-0009i.fit,good
flats_20220904-0005_i,i,B&C,1.0,2459827.280057755,2022-09-04T18:43:16.99,/home/phys/astro8/MJArchive/octans/20220904/flats_20220904-0005_i.fit,good
Flats_20220908-0009_i,i,B&C,0.5,2459831.2765032407,2022-09-08T18:38:09.88,/home/phys/astro8/MJArchive/octans/20220908/Flats_20220908-0009_i.fit,good
FlatDome-0009,bad,bad,-999.0,-999.0,bad,bad,bad
